architecture,attack_accuracy,macro_precision,macro_recall,macro_f1,valid_rule_rate,retrieval_hit_at_3,avg_option_coverage,avg_hallucination_risk
agentic_rag,1.0,1.0,1.0,1.0,1.0,1.0,0.711111111111111,0.0
graph_rag,1.0,1.0,1.0,1.0,1.0,1.0,0.711111111111111,0.0
multi_hop,1.0,1.0,1.0,1.0,1.0,1.0,0.711111111111111,0.0
rag_classic,1.0,1.0,1.0,1.0,1.0,1.0,0.711111111111111,0.0
rag_hybrid,1.0,1.0,1.0,1.0,1.0,1.0,0.711111111111111,0.0
rag_rerank,1.0,1.0,1.0,1.0,1.0,1.0,0.711111111111111,0.0
baseline,1.0,1.0,1.0,1.0,0.9,0.0,0.7333333333333333,0.44000000000000006
